URL,Venue Name,Phone,Venue Highlights,Guest Capacity,Location
https://www.wedding-spot.com/venue/15335/occidental-papagayo/,Occidental Papagayo,N/A,Destination weddings; Indoor and outdoor spaces; Destination weddings; Indoor and outdoor spaces,Accommodates up to 100 guests,"255 Blvd. Playa Hermosa 800 metros al norte 48-5000 Golfo Guanacaste ProvinceProvincia de Guanacaste, CR-G 50503"
https://www.wedding-spot.com/venue/15400/el-dorado-maroma/,El Dorado Maroma,N/A,Destination weddings; Indoor and outdoor spaces; Destination weddings; Indoor and outdoor spaces,Accommodates up to 120 guests,"Carretera Federal Cancun-Tulum Km 55.3 Playa del Carmen, ROO 77710"
https://www.wedding-spot.com/venue/17456/dreams-playa-bonita-panama/,Dreams Playa Bonita Panama,N/A,Destination weddings; Indoor and outdoor spaces; BYO; Destination weddings; Indoor and outdoor spaces; BYO,Accommodates up to 500 guests,Private Estate PanamaCaribbean Islands
https://www.wedding-spot.com/venue/18222/element-salt-lake-city-downtown/,Element Salt Lake City Downtown,385-403-0706,Promotion available; Indoor and outdoor spaces; Upgraded rentals included; Promotion available; Indoor and outdoor spaces; Upgraded rentals included,Accommodates up to 400 guests,"145 South 300 West Salt Lake CitySalt Lake City, UT 84101"
https://www.wedding-spot.com/venue/16831/prallsville-mills/,Prallsville Mills,609-397-3586,Indoor and outdoor spaces; Indoor and outdoor spaces,Accommodates up to 150 guests,"33 Risler Street Stockton, NJ 08559"
https://www.wedding-spot.com/venue/17371/hotel-xcaret-arte/,Hotel Xcaret Arte,N/A,Destination weddings; Indoor and outdoor spaces; Upgraded rentals included; Destination weddings; Indoor and outdoor spaces; Upgraded rentals included,Accommodates up to 1650 guests,"Private Estate Playa del Carmen, ROO 77710"
https://www.wedding-spot.com/venue/18068/riu-palace-kukulkan/,Riu Palace Kukulkan,N/A,Destination weddings; Indoor and outdoor spaces; Upgraded rentals included; Destination weddings; Indoor and outdoor spaces; Upgraded rentals included,Accommodates up to 500 guests,"Private Estate Cancun, ROO 77500"
https://www.wedding-spot.com/venue/16547/grand-hyatt-vail/,Grand Hyatt Vail,970-476-7111,Indoor and outdoor spaces; Upgraded rentals included; Rentals included; Indoor and outdoor spaces; Upgraded rentals included; Rentals included,Accommodates up to 350 guests,"1300 Westhaven Dr Vail, CO 81657"
https://www.wedding-spot.com/venue/16524/strock-enterprises-inc/,"Strock Enterprises, Inc.",717-697-2824,Promotion available; Indoor and outdoor spaces; BYO; Promotion available; Indoor and outdoor spaces; BYO,Accommodates up to 200 guests,"729 Williams Grove Road Mechanicsburg, PA 17055"
https://www.wedding-spot.com/venue/17474/grand-palladium-palace-resort-spa-casino/,"Grand Palladium Palace Resort, Spa & Casino",N/A,Destination weddings; Indoor and outdoor spaces; BYO; Destination weddings; Indoor and outdoor spaces; BYO,Accommodates up to 500 guests,"Private Estate Higuey, DO 23000"
